"HUDichte";"LU";"LO";"RU";"RM";"RO"
-21;23;16;32;10;25
-20;35;20;44;12;32
-19;36;19;44;10;38
-18;45;28;36;10;31
-17;38;21;24;8;26
-16;49;18;39;8;19
-15;41;17;30;9;38
-14;28;13;49;13;31
-13;34;18;42;12;31
-12;30;21;37;11;29
-11;39;23;44;13;31
-10;43;26;45;8;35
-9;25;18;40;6;31
-8;36;22;45;9;28
-7;38;19;24;9;38
-6;35;27;27;9;34
-5;26;23;30;8;26
-4;42;23;35;10;34
-3;36;16;35;12;28
-2;25;23;34;7;27
-1;36;18;35;9;42
0;55;24;41;8;40
1;30;21;34;11;40
2;21;17;34;10;33
3;35;18;29;6;31
4;25;28;23;10;34
5;37;22;39;16;27
6;49;20;35;7;35
7;31;18;47;8;29
8;36;13;36;15;31
9;30;16;42;15;28
10;47;25;42;7;29
11;27;14;33;12;38
12;35;29;34;6;28
13;36;15;35;10;35
14;40;15;41;13;39
15;46;16;34;8;31
16;29;23;41;5;25
17;28;18;49;11;27
18;37;21;45;8;40
19;32;22;30;4;30
20;28;15;43;10;39
21;30;18;45;6;30
22;34;15;46;3;39
23;38;25;36;6;24
24;40;19;32;7;36
25;25;12;37;12;31
26;28;21;40;15;33
27;27;21;37;8;34
28;38;22;32;7;28
29;25;26;39;9;36
30;33;18;29;10;31
31;29;20;34;11;39
32;36;17;35;5;34
33;28;12;35;3;39
34;30;19;42;8;38
35;39;16;33;4;27
36;32;28;31;5;26
37;30;19;32;13;43
38;29;18;34;7;31
39;42;17;24;9;37
40;28;12;39;10;35
41;36;16;53;9;30
42;22;19;33;8;40
43;33;17;35;8;28
44;39;17;32;9;30
45;38;16;30;6;24
46;24;25;38;10;41
47;24;14;33;7;38
48;34;13;42;12;34
49;30;11;37;8;29
50;21;12;39;9;37
51;36;15;40;6;30
52;30;15;35;7;42
53;31;16;32;11;40
54;32;18;37;9;31
55;28;16;26;7;43
56;34;17;34;12;34
57;35;16;44;6;36
58;24;14;37;7;40
59;27;14;29;12;41
60;22;15;35;5;29
61;24;12;28;4;33
62;32;13;27;8;37
63;39;18;39;8;37
64;39;18;32;11;29
65;25;11;28;4;26
66;36;15;39;9;34
67;26;20;33;3;34
68;27;16;39;5;39
69;37;16;35;8;36
70;35;13;42;5;42
71;31;18;35;5;30
72;37;9;41;7;34
73;32;15;40;7;31
74;37;19;34;4;35
75;46;17;30;13;28
76;30;15;36;7;32
77;32;14;31;10;26
78;34;16;34;6;34
79;30;17;30;15;29
80;29;11;42;9;27
81;34;20;31;7;40
82;37;19;49;6;25
83;29;15;37;6;41
84;29;16;33;8;34
85;20;17;37;3;35
86;41;14;35;7;26
87;25;16;31;4;18
88;30;15;28;7;23
89;34;19;33;5;36
90;27;15;40;1;25
91;23;10;36;6;23
92;40;15;28;9;21
93;32;28;32;7;18
94;25;23;35;9;27
95;26;15;28;8;29
96;38;24;35;8;32
97;31;15;33;7;38
98;30;17;44;7;38
99;28;14;41;12;28
100;33;14;35;8;26
101;25;12;38;8;34
102;19;18;40;4;27
103;37;15;45;6;18
104;33;12;32;7;38
105;31;16;46;6;23
106;20;16;36;7;15
107;31;23;33;4;37
108;34;15;33;3;25
109;31;21;46;1;22
110;21;23;31;4;21
111;29;15;32;10;23
112;29;18;32;5;24
113;23;19;44;3;28
114;21;18;37;6;29
115;29;10;31;5;24
116;23;19;32;6;24
117;39;14;30;2;23
118;33;14;36;6;22
119;45;20;36;11;31
120;21;9;39;3;29
121;27;14;37;7;29
122;31;20;40;5;26
123;24;10;36;4;30
124;26;10;32;4;31
125;25;20;34;4;21
126;37;14;35;7;30
127;29;20;34;6;25
128;30;21;30;9;27
129;32;10;30;4;17
130;34;17;38;4;19
131;22;14;41;4;30
132;27;9;39;9;22
133;33;22;23;4;26
134;33;17;32;6;11
135;32;13;46;6;27
136;34;26;29;9;19
137;34;20;33;4;16
138;29;16;30;5;21
139;26;17;35;12;13
140;29;15;37;3;18
141;30;6;32;10;20
142;38;15;28;11;18
143;33;18;39;4;21
144;29;18;19;14;16
145;25;16;32;9;27
146;33;17;36;7;13
147;27;19;40;2;22
148;29;11;37;10;16
149;26;11;29;4;25
150;27;11;41;3;23
151;27;9;29;8;20
152;22;22;31;2;24
153;29;9;35;4;18
154;20;15;35;10;12
155;25;14;28;6;16
156;32;17;32;7;10
157;25;9;24;9;21
158;23;17;32;4;19
159;27;13;30;5;25
160;43;15;24;5;22
161;16;11;37;5;24
162;25;12;25;4;17
163;37;12;34;7;14
164;37;17;43;2;16
165;24;10;23;12;17
166;32;10;35;6;20
167;30;7;33;7;14
168;25;19;39;6;19
169;43;12;34;4;12
170;37;16;32;9;15
171;23;18;33;8;19
172;38;23;28;8;25
173;32;17;34;9;14
174;23;8;40;6;14
175;29;16;24;6;22
176;22;10;23;5;15
177;29;9;27;4;18
178;23;16;24;4;15
179;33;11;40;7;20
180;33;12;35;6;26
181;33;11;33;5;14
182;21;17;34;7;22
183;25;13;30;6;11
184;35;12;37;5;10
185;19;14;34;9;14
186;13;13;41;7;12
187;39;13;23;12;13
188;35;16;32;5;16
189;22;19;34;7;13
190;29;16;31;3;23
191;32;15;24;6;9
192;26;13;26;5;11
193;27;8;32;7;16
194;25;11;28;2;11
195;27;11;37;5;17
196;19;11;20;7;18
197;32;10;39;8;17
198;17;21;24;11;15
199;21;8;33;5;14
200;19;16;35;8;15
201;25;12;39;7;10
202;28;12;25;6;15
203;32;14;27;3;15
204;35;19;30;5;20
205;19;13;45;9;11
206;18;18;29;6;23
207;29;14;25;6;18
208;33;18;29;4;14
209;29;19;40;5;16
210;24;16;32;5;16
211;20;13;26;4;11
212;33;11;39;9;14
213;27;13;27;8;16
214;31;15;30;5;8
215;37;7;30;7;9
216;33;11;38;6;14
217;23;17;29;10;20
218;21;13;33;2;15
219;26;11;28;4;23
220;29;8;26;4;12
221;23;18;32;2;19
222;23;15;31;5;13
223;30;10;37;6;13
224;28;10;20;4;15
225;25;16;36;10;10
226;18;7;43;9;20
227;25;9;26;7;13
228;42;12;28;15;16
229;25;12;25;6;18
230;22;17;38;7;10
231;23;22;31;5;10
232;26;14;31;6;15
233;36;12;32;5;15
234;30;23;32;7;13
235;25;15;33;12;12
236;33;14;31;2;10
237;36;12;27;4;12
238;42;10;34;8;15
239;23;14;37;8;19
240;28;12;33;8;14
241;20;15;23;3;15
242;22;14;17;8;9
243;30;12;46;1;14
244;22;17;33;4;12
245;23;5;31;6;14
246;20;13;28;4;13
247;20;7;27;11;12
248;31;16;30;4;14
249;31;10;31;7;20
250;33;7;29;6;14
251;25;14;31;4;12
252;32;19;39;6;18
253;28;13;34;7;13
254;19;13;38;6;13
255;32;16;30;6;13
256;17;11;27;10;13
257;36;11;26;9;15
258;28;12;34;6;9
259;23;13;29;4;18
260;30;17;32;9;8
261;35;13;44;12;10
262;33;13;37;7;14
263;33;18;35;7;10
264;28;18;43;6;11
265;21;15;44;5;13
266;25;8;28;7;18
267;25;14;26;4;11
268;24;14;36;2;7
269;35;14;50;8;8
270;22;13;31;8;15
271;20;6;35;4;14
272;27;10;30;5;8
273;25;20;30;1;11
274;23;11;32;10;10
275;23;10;26;3;15
276;33;6;33;8;14
277;29;14;23;8;10
278;35;8;33;7;12
279;25;13;39;7;10
280;29;15;35;8;8
281;25;11;34;9;10
282;18;11;36;9;11
283;23;9;42;8;8
284;21;11;30;4;8
285;29;13;35;4;16
286;35;13;35;5;11
287;30;13;42;5;12
288;32;12;42;7;6
289;33;14;30;3;11
290;31;10;22;10;24
291;23;10;36;9;20
292;31;15;35;6;16
293;25;11;42;6;6
294;23;14;29;5;11
295;35;10;39;7;19
296;31;15;36;5;12
297;26;11;26;3;22
298;29;9;28;7;14
299;15;14;37;0;9
300;29;13;30;7;10
301;21;10;32;15;16
302;22;14;36;5;9
303;30;12;28;6;13
304;23;19;46;7;12
305;25;12;39;8;7
306;31;14;45;8;13
307;36;14;36;2;17
308;26;15;42;8;12
309;29;14;37;4;13
310;25;13;48;1;13
311;46;8;38;6;12
312;28;12;46;6;12
313;29;13;51;8;13
314;24;11;46;5;12
315;29;7;32;5;5
316;34;10;59;6;12
317;44;11;49;4;10
318;33;10;52;7;13
319;36;17;51;7;12
320;30;18;37;6;17
321;31;13;62;3;15
322;31;12;61;6;13
323;28;7;64;6;17
324;36;10;48;3;9
325;29;14;52;3;11
326;27;14;53;8;13
327;30;8;71;5;14
328;28;13;59;6;10
329;27;18;46;14;9
330;35;14;46;6;13
331;32;10;61;5;13
332;31;6;64;6;10
333;35;7;47;4;15
334;39;10;66;6;19
335;40;13;53;7;16
336;34;14;60;13;13
337;27;7;58;6;11
338;28;7;54;4;18
339;36;12;65;9;8
340;37;9;57;3;10
341;32;5;51;6;15
342;28;11;61;5;11
343;30;12;78;2;18
344;40;14;58;3;11
345;30;4;52;12;9
346;27;7;66;6;19
347;37;14;65;7;16
348;33;12;62;6;15
349;31;8;54;4;9
350;49;13;72;8;6
351;23;9;49;7;8
352;35;12;77;6;12
353;43;12;53;3;12
354;51;13;69;5;14
355;33;13;67;7;15
356;38;16;48;5;4
357;28;13;65;12;13
358;36;14;61;10;12
359;28;17;74;9;12
360;32;11;55;8;10
361;46;13;54;4;12
362;35;5;71;4;11
363;50;11;60;5;11
364;35;14;61;12;9
365;44;6;68;8;9
366;41;11;67;4;7
367;50;13;74;11;13
368;26;15;74;4;6
369;34;7;71;4;7
370;37;12;60;7;10
371;30;6;55;4;14
372;33;12;66;5;11
373;52;14;54;4;14
374;42;14;59;6;11
375;33;16;72;0;10
376;33;9;79;7;12
377;38;16;57;4;11
378;49;11;61;10;5
379;55;7;64;10;6
380;46;7;79;5;8
381;50;15;72;5;11
382;38;16;71;9;8
383;54;12;71;5;9
384;52;12;60;6;15
385;48;8;78;6;12
386;63;12;66;4;7
387;53;10;86;6;14
388;48;8;81;6;10
389;52;11;77;9;13
390;55;11;71;5;12
391;44;15;69;3;7
392;44;15;86;5;16
393;55;12;63;4;9
394;46;6;69;8;5
395;57;5;66;4;11
396;43;10;82;5;14
397;47;7;58;5;20
398;44;7;65;2;16
399;48;14;72;7;10
400;56;8;76;4;8
401;68;10;59;0;10
402;59;4;74;5;8
403;69;8;60;5;9
404;56;12;71;7;10
405;70;12;56;3;11
406;53;10;68;7;9
407;67;12;65;5;8
408;60;12;72;5;12
409;52;10;66;4;11
410;54;8;62;5;13
411;56;18;60;6;10
412;36;11;55;4;6
413;57;11;58;0;12
414;57;7;63;3;10
415;60;10;51;2;9
416;65;14;64;5;14
417;59;7;54;3;11
418;41;7;59;1;2
419;53;13;60;4;10
420;52;6;47;3;14
421;57;8;60;3;6
422;47;8;52;3;7
423;57;11;64;2;16
424;69;12;56;3;12
425;62;7;44;2;6
426;44;4;48;2;5
427;51;8;57;2;3
428;55;5;50;3;8
429;40;4;50;3;9
430;52;8;51;5;7
431;56;9;40;2;10
432;53;8;50;1;11
433;57;11;47;1;5
434;41;7;40;3;9
435;35;12;47;4;4
436;39;7;49;2;8
437;37;4;35;2;5
438;53;7;43;2;5
439;37;8;47;0;3
440;50;3;40;1;13
441;34;6;45;3;5
442;38;9;41;1;7
443;53;3;36;2;9
444;44;12;40;0;6
445;47;7;33;1;3
446;45;7;24;2;3
447;53;9;40;1;10
448;37;10;32;2;6
449;41;3;34;2;9
450;34;7;25;0;5
451;23;7;33;0;5
452;46;5;22;1;5
453;37;5;35;2;8
454;46;7;31;0;2
455;39;6;23;1;4
456;42;3;22;1;4
457;34;2;24;0;6
458;35;5;29;0;5
459;31;9;18;2;8
460;43;6;23;0;6
461;20;4;19;0;6
462;32;3;20;0;2
463;38;8;16;0;2
464;30;12;23;1;8
465;33;9;17;0;4
466;31;6;19;3;3
467;31;3;13;0;7
468;32;4;15;1;3
469;29;3;8;0;3
470;30;3;16;0;8
471;23;3;10;0;4
472;33;6;15;0;7
473;23;6;9;1;6
474;26;9;20;0;7
475;23;3;18;0;5
476;28;7;14;0;3
477;26;2;10;0;4
478;20;6;12;1;6
479;27;4;14;1;1
480;19;3;13;0;8
481;21;4;7;0;7
482;14;5;9;0;4
483;15;3;9;0;2
484;19;2;8;0;3
485;22;3;7;0;4
486;20;8;8;0;8
487;8;7;5;0;2
488;18;2;5;0;3
489;11;4;4;0;6
490;18;6;5;0;8
491;11;3;6;0;5
492;10;2;4;0;5
493;8;6;7;0;5
494;13;6;5;0;9
495;11;3;1;0;9
496;15;3;6;0;2
497;11;1;5;0;4
498;13;1;7;0;1
499;13;3;6;0;2
500;9;4;4;0;3
501;5;5;7;1;8
502;12;3;3;0;3
503;7;1;5;0;2
504;7;2;6;0;3
505;9;1;1;0;3
506;10;4;3;0;3
507;5;1;4;0;3
508;7;2;4;0;3
509;6;1;4;0;4
510;3;3;2;0;3
511;9;0;4;0;1
512;4;5;2;0;3
513;8;2;5;0;4
514;7;1;5;0;4
515;5;1;2;0;4
516;6;3;7;0;2
517;4;3;1;0;3
518;4;2;1;0;3
519;4;1;1;0;3
520;2;1;0;0;4
521;5;0;3;0;2
522;4;3;0;0;4
523;4;2;1;0;4
524;4;1;2;0;4
525;4;2;0;0;4
526;3;2;1;0;1
527;5;2;4;0;4
528;1;0;0;0;2
529;3;0;0;0;0
530;2;0;3;0;0
531;4;2;0;0;1
532;1;1;0;0;1
533;0;4;3;0;3
534;1;0;2;0;3
535;3;1;0;0;1
536;1;3;2;0;5
537;3;1;1;0;2
538;3;0;3;0;0
539;4;2;0;0;8
540;1;1;1;0;1
541;2;2;1;0;1
542;4;1;0;0;0
543;2;1;1;0;3
544;2;0;1;0;3
545;2;0;0;0;0
546;0;1;0;0;0
547;1;2;1;0;2
548;0;0;1;0;2
549;0;0;0;0;2
550;0;0;0;0;0
551;0;0;0;0;2
552;1;0;0;0;0
553;0;1;0;0;1
554;1;0;0;0;0
555;1;1;0;0;0
556;2;1;1;0;1
557;1;0;0;0;0
558;0;1;1;0;0
559;2;0;0;0;0
560;3;0;0;0;1
561;2;0;2;0;1
562;0;0;0;0;0
563;3;1;0;0;0
564;0;0;0;0;1
565;0;0;0;0;0
566;1;1;0;0;2
567;0;0;0;0;1
568;1;0;1;0;1
569;1;0;1;0;0
570;1;2;0;0;0
571;1;0;0;0;0
572;0;1;0;0;0
573;2;1;1;0;0
574;0;0;0;0;0
575;0;0;0;0;0
576;0;0;0;0;1
577;0;1;1;0;0
578;1;1;0;0;3
579;1;0;0;0;1
580;0;0;0;0;2
581;0;0;0;0;1
582;1;0;1;0;1
583;0;0;0;0;0
584;0;0;1;0;1
585;0;0;0;0;0
586;0;0;0;0;2
587;0;0;0;0;2
588;0;0;0;0;0
589;0;0;0;0;0
590;0;0;0;0;1
591;0;0;0;0;1
592;1;0;0;0;1
593;0;0;0;0;1
594;0;0;0;0;1
595;0;0;0;0;0
596;0;0;0;0;1
597;0;0;0;0;0
598;0;0;0;0;0
599;0;0;0;0;1
600;0;0;0;0;1
601;0;0;0;0;0
602;0;0;0;0;2
603;0;0;0;0;1
604;0;0;0;0;0
605;0;0;0;0;1
606;0;0;0;0;2
607;0;0;0;0;3
608;0;0;0;0;2
609;0;0;0;0;0
610;0;0;0;0;1
611;0;0;0;0;0
612;0;0;0;0;0
613;0;0;0;0;3
614;0;0;0;0;0
615;0;0;0;0;0
616;0;0;0;0;0
617;0;0;0;0;1
618;0;0;0;0;0
619;0;0;0;0;0
620;0;0;0;0;0
621;0;0;0;0;1
622;0;0;0;0;0
623;0;0;0;0;2
624;0;0;0;0;0
625;0;0;0;0;0
626;0;0;0;0;0
627;0;0;0;0;2
628;0;0;0;0;0
629;0;0;0;0;0
630;0;0;0;0;0
631;0;0;0;0;1
632;0;0;0;0;0
633;0;0;0;0;0
634;0;0;0;0;0
635;0;0;0;0;1
636;0;0;0;0;1
637;0;0;0;0;1
638;0;0;0;0;0
639;0;0;0;0;0
640;0;0;0;0;1
641;0;0;0;0;0
642;0;0;0;0;1
643;0;0;0;0;0
644;0;0;0;0;0
645;0;0;0;0;0
646;0;0;0;0;0
647;0;0;0;0;1
648;0;0;0;0;1
649;0;0;0;0;1
650;0;0;0;0;1
651;0;0;0;0;0
652;0;0;0;0;0
653;0;0;0;0;0
654;0;0;0;0;1
655;0;0;0;0;0
656;0;0;0;0;0
657;0;0;0;0;0
658;0;0;0;0;0
659;0;0;0;0;0
660;0;0;0;0;0
661;0;0;0;0;0
662;0;0;0;0;0
663;0;0;0;0;1
664;0;0;0;0;0
665;0;0;0;0;0
666;0;0;0;0;0
667;0;0;0;0;0
668;0;0;0;0;0
669;0;0;0;0;1
670;0;0;0;0;1
671;0;0;0;0;0
672;0;0;0;0;0
673;0;0;0;0;0
674;0;0;0;0;1
675;0;0;0;0;0
676;0;0;0;0;0
677;0;0;0;0;1
678;0;0;0;0;2
679;0;0;0;0;0
680;0;0;0;0;2
681;0;0;0;0;0
682;0;0;0;0;2
683;0;0;0;0;0
684;0;0;0;0;1
685;0;0;0;0;3
686;0;0;0;0;1
687;0;0;0;0;1
688;0;0;0;0;0
689;0;0;0;0;0
690;0;0;0;0;0
691;0;0;0;0;1
692;0;0;0;0;1
693;0;0;0;0;0
694;0;0;0;0;3
695;0;0;0;0;0
696;0;0;0;0;0
697;0;0;0;0;2
698;0;0;0;0;0
699;0;0;0;0;0
700;0;0;0;0;0
701;0;0;0;0;2
702;0;0;0;0;1
703;0;0;0;0;1
704;0;0;0;0;1
705;0;0;0;0;0
706;0;0;0;0;1
707;0;0;0;0;0
708;0;0;0;0;1
709;0;0;0;0;2
710;0;0;0;0;0
711;0;0;0;0;3
712;0;0;0;0;1
713;0;0;0;0;0
714;0;0;0;0;3
715;0;0;0;0;2
716;0;0;0;0;0
717;0;0;0;0;0
718;0;0;0;0;0
719;0;0;0;0;0
720;0;0;0;0;2
721;0;0;0;0;0
722;0;0;0;0;0
723;0;0;0;0;0
724;0;0;0;0;0
725;0;0;0;0;2
726;0;0;0;0;1
727;0;0;0;0;0
728;0;0;0;0;0
729;0;0;0;0;1
730;0;0;0;0;1
731;0;0;0;0;0
732;0;0;0;0;1
733;0;0;0;0;0
734;0;0;0;0;0
735;0;0;0;0;0
736;0;0;0;0;1
737;0;0;0;0;0
738;0;0;0;0;0
739;0;0;0;0;0
740;0;0;0;0;0
741;0;0;0;0;0
742;0;0;0;0;1
743;0;0;0;0;0
744;0;0;0;0;0
745;0;0;0;0;0
746;0;0;0;0;1
747;0;0;0;0;0
748;0;0;0;0;0
749;0;0;0;0;0
750;0;0;0;0;0
751;0;0;0;0;0
752;0;0;0;0;0
753;0;0;0;0;0
754;0;0;0;0;1
755;0;0;0;0;1
756;0;0;0;0;0
757;0;0;0;0;1
758;0;0;0;0;0
759;0;0;0;0;0
760;0;0;0;0;0
761;0;0;0;0;0
762;0;0;0;0;2
763;0;0;0;0;0
764;0;0;0;0;0
765;0;0;0;0;0
766;0;0;0;0;0
767;0;0;0;0;0
768;0;0;0;0;0
769;0;0;0;0;1
770;0;0;0;0;1
771;0;0;0;0;0
772;0;0;0;0;0
773;0;0;0;0;0
774;0;0;0;0;0
775;0;0;0;0;1
776;0;0;0;0;0
777;0;0;0;0;0
778;0;0;0;0;0
779;0;0;0;0;1
780;0;0;0;0;0
781;0;0;0;0;0
782;0;0;0;0;0
783;0;0;0;0;0
784;0;0;0;0;0
785;0;0;0;0;0
786;0;0;0;0;0
787;0;0;0;0;1
788;0;0;0;0;0
789;0;0;0;0;0
790;0;0;0;0;0
791;0;0;0;0;0
792;0;0;0;0;1
793;0;0;0;0;1
794;0;0;0;0;1
795;0;0;0;0;0
796;0;0;0;0;1
797;0;0;0;0;1
798;0;0;0;0;0
799;0;0;0;0;0
800;0;0;0;0;0
801;0;0;0;0;0
802;0;0;0;0;1
803;0;0;0;0;0
804;0;0;0;0;0
805;0;0;0;0;1
806;0;0;0;0;0
807;0;0;0;0;0
808;0;0;0;0;0
809;0;0;0;0;1
810;0;0;0;0;1
811;0;0;0;0;0
812;0;0;0;0;0
813;0;0;0;0;0
814;0;0;0;0;1
815;0;0;0;0;1
816;0;0;0;0;0
817;0;0;0;0;0
818;0;0;0;0;1
819;0;0;0;0;0
820;0;0;0;0;0
821;0;0;0;0;0
822;0;0;0;0;0
823;0;0;0;0;1
824;0;0;0;0;0
825;0;0;0;0;0
826;0;0;0;0;0
827;0;0;0;0;0
828;0;0;0;0;1
829;0;0;0;0;2
830;0;0;0;0;0
831;0;0;0;0;0
832;0;0;0;0;0
833;0;0;0;0;1
834;0;0;0;0;0
835;0;0;0;0;0
836;0;0;0;0;1
837;0;0;0;0;0
838;0;0;0;0;0
839;0;0;0;0;1
840;0;0;0;0;0
841;0;0;0;0;0
842;0;0;0;0;2
843;0;0;0;0;1
844;0;0;0;0;1
845;0;0;0;0;0
846;0;0;0;0;0
847;0;0;0;0;0
848;0;0;0;0;1
849;0;0;0;0;1
850;0;0;0;0;1
851;0;0;0;0;0
852;0;0;0;0;0
853;0;0;0;0;2
854;0;0;0;0;1
855;0;0;0;0;0
856;0;0;0;0;0
857;0;0;0;0;0
858;0;0;0;0;0
859;0;0;0;0;0
860;0;0;0;0;0
861;0;0;0;0;0
862;0;0;0;0;1
863;0;0;0;0;0
864;0;0;0;0;0
865;0;0;0;0;0
866;0;0;0;0;0
867;0;0;0;0;0
868;0;0;0;0;0
869;0;0;0;0;1
870;0;0;0;0;0
871;0;0;0;0;1
872;0;0;0;0;1
873;0;0;0;0;1
874;0;0;0;0;0
875;0;0;0;0;0
876;0;0;0;0;0
877;0;0;0;0;0
878;0;0;0;0;0
879;0;0;0;0;0
880;0;0;0;0;0
881;0;0;0;0;0
882;0;0;0;0;1
883;0;0;0;0;0
884;0;0;0;0;0
885;0;0;0;0;0
886;0;0;0;0;1
887;0;0;0;0;0
888;0;0;0;0;0
889;0;0;0;0;0
890;0;0;0;0;0
891;0;0;0;0;1
892;0;0;0;0;0
893;0;0;0;0;0
894;0;0;0;0;0
895;0;0;0;0;1
896;0;0;0;0;0
897;0;0;0;0;0
898;0;0;0;0;0
899;0;0;0;0;1
900;0;0;0;0;0
901;0;0;0;0;0
902;0;0;0;0;2
903;0;0;0;0;1
904;0;0;0;0;0
905;0;0;0;0;0
906;0;0;0;0;0
907;0;0;0;0;0
908;0;0;0;0;0
909;0;0;0;0;0
910;0;0;0;0;0
911;0;0;0;0;0
912;0;0;0;0;0
913;0;0;0;0;0
914;0;0;0;0;1
915;0;0;0;0;0
916;0;0;0;0;0
917;0;0;0;0;0
918;0;0;0;0;0
919;0;0;0;0;0
920;0;0;0;0;1
921;0;0;0;0;0
922;0;0;0;0;0
923;0;0;0;0;0
924;0;0;0;0;1
925;0;0;0;0;0
926;0;0;0;0;0
927;0;0;0;0;0
928;0;0;0;0;0
929;0;0;0;0;0
930;0;0;0;0;0
931;0;0;0;0;0
932;0;0;0;0;0
933;0;0;0;0;1
934;0;0;0;0;0
935;0;0;0;0;1
936;0;0;0;0;0
937;0;0;0;0;1
938;0;0;0;0;1
939;0;0;0;0;0
940;0;0;0;0;1
941;0;0;0;0;0
942;0;0;0;0;2
943;0;0;0;0;0
944;0;0;0;0;0
945;0;0;0;0;0
946;0;0;0;0;0
947;0;0;0;0;0
948;0;0;0;0;0
949;0;0;0;0;0
950;0;0;0;0;1
951;0;0;0;0;0
952;0;0;0;0;0
953;0;0;0;0;0
954;0;0;0;0;0
955;0;0;0;0;1
956;0;0;0;0;0
957;0;0;0;0;1
958;0;0;0;0;0
959;0;0;0;0;0
960;0;0;0;0;0
961;0;0;0;0;0
962;0;0;0;0;1
963;0;0;0;0;0
964;0;0;0;0;0
965;0;0;0;0;0
966;0;0;0;0;0
967;0;0;0;0;0
968;0;0;0;0;1
969;0;0;0;0;1
970;0;0;0;0;0
971;0;0;0;0;0
972;0;0;0;0;0
973;0;0;0;0;2
974;0;0;0;0;0
975;0;0;0;0;0
976;0;0;0;0;1
977;0;0;0;0;1
978;0;0;0;0;1
979;0;0;0;0;1
980;0;0;0;0;1
981;0;0;0;0;0
982;0;0;0;0;0
983;0;0;0;0;0
984;0;0;0;0;1
985;0;0;0;0;0
986;0;0;0;0;0
987;0;0;0;0;1
988;0;0;0;0;0
989;0;0;0;0;0
990;0;0;0;0;1
991;0;0;0;0;0
992;0;0;0;0;0
993;0;0;0;0;0
994;0;0;0;0;0
995;0;0;0;0;0
996;0;0;0;0;0
997;0;0;0;0;0
998;0;0;0;0;0
999;0;0;0;0;0
1000;0;0;0;0;1
1001;0;0;0;0;0
1002;0;0;0;0;0
1003;0;0;0;0;0
1004;0;0;0;0;0
1005;0;0;0;0;0
1006;0;0;0;0;0
1007;0;0;0;0;2
1008;0;0;0;0;0
1009;0;0;0;0;1
1010;0;0;0;0;0
1011;0;0;0;0;1
1012;0;0;0;0;0
1013;0;0;0;0;0
1014;0;0;0;0;1
1015;0;0;0;0;0
1016;0;0;0;0;0
1017;0;0;0;0;0
1018;0;0;0;0;0
1019;0;0;0;0;0
1020;0;0;0;0;2
1021;0;0;0;0;1
1022;0;0;0;0;0
1023;0;0;0;0;0
1024;0;0;0;0;0
1025;0;0;0;0;0
1026;0;0;0;0;0
1027;0;0;0;0;0
1028;0;0;0;0;0
1029;0;0;0;0;0
1030;0;0;0;0;1
1031;0;0;0;0;1
1032;0;0;0;0;0
1033;0;0;0;0;0
1034;0;0;0;0;0
1035;0;0;0;0;0
1036;0;0;0;0;0
1037;0;0;0;0;0
1038;0;0;0;0;0
1039;0;0;0;0;0
1040;0;0;0;0;0
1041;0;0;0;0;0
1042;0;0;0;0;0
1043;0;0;0;0;0
1044;0;0;0;0;0
1045;0;0;0;0;0
1046;0;0;0;0;0
1047;0;0;0;0;0
1048;0;0;0;0;0
1049;0;0;0;0;0
1050;0;0;0;0;1
1051;0;0;0;0;0
1052;0;0;0;0;0
1053;0;0;0;0;1
1054;0;0;0;0;0
1055;0;0;0;0;1
1056;0;0;0;0;0
1057;0;0;0;0;0
1058;0;0;0;0;3
1059;0;0;0;0;0
1060;0;0;0;0;0
1061;0;0;0;0;2
1062;0;0;0;0;0
1063;0;0;0;0;0
1064;0;0;0;0;1
1065;0;0;0;0;0
1066;0;0;0;0;0
1067;0;0;0;0;0
1068;0;0;0;0;0
1069;0;0;0;0;0
1070;0;0;0;0;1
1071;0;0;0;0;0
1072;0;0;0;0;2
1073;0;0;0;0;0
1074;0;0;0;0;0
1075;0;0;0;0;0
1076;0;0;0;0;0
1077;0;0;0;0;0
1078;0;0;0;0;0
1079;0;0;0;0;1
1080;0;0;0;0;1
1081;0;0;0;0;0
1082;0;0;0;0;0
1083;0;0;0;0;0
1084;0;0;0;0;0
1085;0;0;0;0;0
1086;0;0;0;0;0
1087;0;0;0;0;0
1088;0;0;0;0;0
1089;0;0;0;0;0
1090;0;0;0;0;0
1091;0;0;0;0;2
1092;0;0;0;0;0
1093;0;0;0;0;0
1094;0;0;0;0;0
1095;0;0;0;0;0
1096;0;0;0;0;0
1097;0;0;0;0;0
1098;0;0;0;0;1
1099;0;0;0;0;0
1100;0;0;0;0;0
1101;0;0;0;0;0
1102;0;0;0;0;0
1103;0;0;0;0;0
1104;0;0;0;0;0
1105;0;0;0;0;0
1106;0;0;0;0;0
1107;0;0;0;0;0
1108;0;0;0;0;0
1109;0;0;0;0;0
1110;0;0;0;0;0
1111;0;0;0;0;0
1112;0;0;0;0;0
1113;0;0;0;0;0
1114;0;0;0;0;0
1115;0;0;0;0;0
1116;0;0;0;0;0
1117;0;0;0;0;0
1118;0;0;0;0;0
1119;0;0;0;0;0
1120;0;0;0;0;0
1121;0;0;0;0;0
1122;0;0;0;0;0
1123;0;0;0;0;2
1124;0;0;0;0;0
1125;0;0;0;0;1
1126;0;0;0;0;1
1127;0;0;0;0;0
1128;0;0;0;0;0
1129;0;0;0;0;0
